life,k__Archaea, p__Crenarchaeota, c__Thaumarchaeota, o__Nitrososphaerales, f__Nitrososphaeraceae, g__Candidatus Nitrososphaera,101071,1000
life,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales,,,567702,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,538931,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,540669,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,1115108,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo1029,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo1364,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo1368,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo240,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo2741,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo3011,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo362,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo57,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,denovo881,2000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__,156012,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__,denovo2405,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales,,,denovo1763,1000
life,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales,,,denovo2687,1000
life,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__, f__, g__,144803,1000
life,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__,103229,1000
life,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae, g__,640461,1000
life,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Elizabethkingia,577339,3000
life,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae,,849907,1000
life,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__, g__,242136,1000
life,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__, g__,denovo1465,1000
life,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Chitinophagaceae, g__,160651,1000
life,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Chitinophagaceae, g__,216350,1000
life,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Chitinophagaceae, g__,771274,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae, g__Geobacter,48355,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae, g__Geobacter,202514,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae, g__Geobacter,635511,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae, g__Geobacter,1140968,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae,,110735,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Geobacteraceae,,1115527,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales,,,220762,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales,,,denovo304,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales,,,denovo738,4000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__,1002966,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__0319-6G20, g__,771634,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Cystobacteraceae, g__Cystobacter,denovo1157,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Cystobacteraceae,,336745,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Nannocystaceae, g__Nannocystis,314203,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Nannocystaceae, g__Plesiocystis,3992505,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales,,,501684,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales,,,denovo177,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales,,,denovo2251,2000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Spirobacillales, f__, g__,denovo1665,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophaceae, g__Syntrophus,612227,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophaceae, g__Syntrophus,670053,2000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophaceae,,denovo429,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophobacteraceae, g__Syntrophobacter,163774,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophobacteraceae, g__Syntrophobacter,denovo2809,1000
life,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophorhabdaceae, g__,143834,1000
life,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Campylobacterales, f__Campylobacteraceae, g__Arcobacter,144024,3000
life,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Campylobacterales, f__Helicobacteraceae, g__,denovo879,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Aeromonadaceae, g__,164822,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Aeromonadaceae, g__,203157,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Aeromonadaceae, g__Tolumonas,526817,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales,,,denovo1492,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__[Chromatiaceae], g__Rheinheimera,139424,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae, g__Cellvibrio,819023,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Morganella,720489,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Providencia,365184,6000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,54877,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,569979,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__,denovo2702,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__Aquicella,232046,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales,,,612198,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales,,,denovo2953,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,131019,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,534688,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,2400244,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,2400246,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,3638246,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo1344,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo1796,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo1804,3000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo203,10000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo2074,11000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo2227,20000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo354,27000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo357,82000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo936,218000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,3219860,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo1201,8000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo146,13000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo1850,36000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae, g__Crenothrix,denovo1922,36000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__,denovo1116,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylocaldum,380204,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylocaldum,denovo2386,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,8057,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,8067,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,8090,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,40125,4000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,45263,5000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,142784,9000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae, g__Methylomonas,588559,23000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae,,141872,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae,,1124243,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae,,denovo1643,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae,,denovo1691,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae,,denovo2135,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae,,denovo893,7000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales,,,denovo1510,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales,,,denovo2188,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales,,,denovo2330,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales,,,denovo2544,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales,,,denovo2653,7000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,54545,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,579115,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,194118,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,532598,4000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,286025,3000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,388951,4000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Enhydrobacter,484436,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Enhydrobacter,denovo2344,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae,,548754,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,72643,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,400315,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,179854,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,394796,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,410048,45000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,,156652,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,,denovo793,3000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__Nevskia,3120500,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Lysobacter,2340272,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Rhodanobacter,179061,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae,,449595,3000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,7505,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,897420,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo11,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo1117,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo118,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo1410,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo1488,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo1616,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo170,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo1750,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2093,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2258,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2296,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2573,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2587,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2785,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2921,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo2954,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo603,1000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo654,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo767,2000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo897,6000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo908,8000
life,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,denovo94,91000
